X	Y	Species	Type	Diam	Height
4.02554	0.984249	Balsam_Fir	Adult	12.4633	0
4.57926	3.18822	Balsam_Fir	Adult	12.9356	0
2.52704	0.89864	Trembling_Aspen	Adult	10.6736	0
0.168095	0.447105	Trembling_Aspen	Adult	12.813	0
3.79118	5.93382	Paper_Birch	Adult	17.1674	0
7.3241	4.51337	Trembling_Aspen	Adult	13.7933	0
1.85019	2.23618	White_Spruce	Adult	20.8667	0
2.29076	0.267468	Trembling_Aspen	Adult	17.2	0
1.65038	0.586872	Trembling_Aspen	Adult	17.3268	0
3.61232	4.84799	Paper_Birch	Adult	25.4763	0
5.65141	2.4843	Trembling_Aspen	Adult	18.0236	0
2.41031	15.9566	Trembling_Aspen	Adult	11.475	0
1.29376	8.43613	Paper_Birch	Adult	14.0027	0
3.93502	10.0268	Trembling_Aspen	Adult	16.5094	0
3.67026	8.5056	Trembling_Aspen	Adult	22.9326	0
2.57124	9.10022	Trembling_Aspen	Adult	27.7886	0
2.1294	21.5766	Balsam_Fir	Adult	12.3989	0
7.07147	20.4874	White_Spruce	Adult	13.1754	0
5.1361	20.3181	Paper_Birch	Adult	13.9835	0
1.20292	16.2468	White_Spruce	Adult	17.6633	0
6.64821	19.8866	Balsam_Fir	Adult	18.6371	0
1.37494	18.4792	Trembling_Aspen	Adult	14.7964	0
2.40778	16.034	Paper_Birch	Adult	34.9089	0
1.40465	23.9412	Trembling_Aspen	Adult	20.5176	0
7.44267	30.5954	Balsam_Fir	Adult	17.5034	0
4.38164	34.3485	Balsam_Fir	Adult	18.3353	0
0.636198	38.3999	Trembling_Aspen	Adult	14.8536	0
7.3555	33.0064	Paper_Birch	Adult	21.4972	0
6.27304	32.29	Paper_Birch	Adult	22.7434	0
0.739806	35.1377	Trembling_Aspen	Adult	19.8014	0
0.502861	39.5053	Trembling_Aspen	Adult	26.28	0
4.46053	46.012	Balsam_Fir	Adult	11.8429	0
6.19071	42.9199	Balsam_Fir	Adult	14.3562	0
3.82645	42.6367	Paper_Birch	Adult	12.3906	0
1.77909	43.2684	Balsam_Fir	Adult	19.7515	0
7.00744	42.0454	Trembling_Aspen	Adult	19.3541	0
4.04835	42.9301	Trembling_Aspen	Adult	19.7617	0
0.123691	41.1567	Trembling_Aspen	Adult	20.288	0
0.0414931	46.162	Trembling_Aspen	Adult	22.2982	0
5.27855	51.2211	Paper_Birch	Adult	17.1805	0
7.88591	54.3829	Trembling_Aspen	Adult	13.5635	0
6.62779	48.7847	White_Spruce	Adult	20.6006	0
3.4605	55.0448	Trembling_Aspen	Adult	16.3539	0
4.58578	51.5591	Trembling_Aspen	Adult	20.5218	0
3.74481	56.9311	Paper_Birch	Adult	10.4893	0
5.82771	59.9377	Balsam_Fir	Adult	14.122	0
2.45975	61.1336	Balsam_Fir	Adult	14.9976	0
5.12202	61.951	Trembling_Aspen	Adult	10.5965	0
5.2067	59.5539	Trembling_Aspen	Adult	11.403	0
5.91961	57.7751	Balsam_Fir	Adult	21.5469	0
3.41525	63.9121	Trembling_Aspen	Adult	13.7149	0
7.78737	62.8384	White_Spruce	Adult	22.2115	0
6.51089	63.7082	Trembling_Aspen	Adult	19.5623	0
5.8465	71.7785	Trembling_Aspen	Adult	13.9995	0
7.42332	64.9326	Paper_Birch	Adult	22.2167	0
3.3011	71.8415	White_Spruce	Adult	22.6782	0
7.51245	79.8795	Balsam_Fir	Adult	14.8667	0
2.2075	72.2531	Trembling_Aspen	Adult	12.8188	0
3.42956	77.4627	Trembling_Aspen	Adult	13.1958	0
3.44036	79.9421	Trembling_Aspen	Adult	13.6646	0
6.17032	73.7984	Paper_Birch	Adult	35.7778	0
5.24418	72.9345	White_Spruce	Adult	29.9004	0
7.516	78.4237	Trembling_Aspen	Adult	23.7343	0
5.9541	78.2004	White_Spruce	Adult	31.495	0
4.88753	83.8723	Balsam_Fir	Adult	10.4895	0
3.00833	83.9374	Balsam_Fir	Adult	11.7648	0
2.5062	83.3057	Trembling_Aspen	Adult	11.8177	0
2.01491	84.2811	Trembling_Aspen	Adult	15.6903	0
0.667411	93.2869	Paper_Birch	Adult	10.2928	0
1.15226	94.6112	Balsam_Fir	Adult	21.0266	0
6.19667	92.6542	White_Spruce	Adult	20.4163	0
6.11465	88.4256	Balsam_Fir	Adult	24.4623	0
2.10195	93.791	White_Spruce	Adult	23.3082	0
2.64956	92.5618	Trembling_Aspen	Adult	18.8819	0
3.59813	96.7542	Trembling_Aspen	Adult	16.0415	0
0.578607	99.5223	Trembling_Aspen	Adult	18.4822	0
7.62983	96.6926	Trembling_Aspen	Adult	19.857	0
8.20981	2.70237	Balsam_Fir	Adult	11.0028	0
14.4966	6.56743	Balsam_Fir	Adult	17.5282	0
14.0857	4.31886	Trembling_Aspen	Adult	11.7151	0
12.776	3.73624	Balsam_Fir	Adult	18.4178	0
15.6244	4.09882	Trembling_Aspen	Adult	12.2649	0
8.47656	3.04495	White_Spruce	Adult	19.0121	0
11.6959	7.85318	Trembling_Aspen	Adult	14.0339	0
15.215	1.20625	Paper_Birch	Adult	19.6194	0
