X	Y	Species	Type	Diam	Height
2.33	0.66	Sugar_Maple	Adult	33	24.6
2.81	2.31	Sugar_Maple	Adult	28	24.7
5.38	1.03	Sugar_Maple	Adult	43.3	25
4.46	3.85	Sugar_Maple	Adult	19.7	24.4
1.83	4.51	Sugar_Maple	Adult	23.7	21.7
4.63	9.94	Sugar_Maple	Adult	15.8	22.5
9.47	6.52	Sugar_Maple	Adult	55.8	26
5.98	5.79	Sugar_Maple	Adult	10	13.8
5.01	5.99	Sugar_Maple	Adult	23	25.2
6.84	1.3	Sugar_Maple	Adult	10.2	11.2
8.59	11.45	Sugar_Maple	Adult	36.1	25.7
6.55	10.77	Sugar_Maple	Adult	33.7	26
4.52	13.9	Sugar_Maple	Adult	14.2	17.6
7.95	19.34	Sugar_Maple	Adult	31.6	23.4
1.14	12.07	Sugar_Maple	Adult	19.3	20.7
0.98	12.01	Sugar_Maple	Adult	14	16.1
1.09	23.76	Sugar_Maple	Adult	15.2	18.1
2.28	24.33	Sugar_Maple	Adult	56	25.7
2.91	26.76	Sugar_Maple	Adult	37.5	23.5
3.29	27.3	Sugar_Maple	Adult	14.8	14.9
1.75	29.65	Sugar_Maple	Adult	29.1	23.9
7.46	29.88	Sugar_Maple	Adult	18.6	18.1
3.5	33.33	Sugar_Maple	Adult	35.8	25.2
7.08	39.88	Sugar_Maple	Adult	57.3	27.3
1.2	31.89	Sugar_Maple	Adult	10.9	9.4
2.39	40.82	Sugar_Maple	Adult	18.3	21.8
2.93	40.29	Sugar_Maple	Adult	11.8	14.9
2.44	43.1	Sugar_Maple	Adult	24.1	23.5
2.97	46.81	Sugar_Maple	Adult	14	14.3
1.86	48.03	Sugar_Maple	Adult	10.1	14.9
6.91	43.87	Sugar_Maple	Adult	42.3	26
12.25	7.83	Sugar_Maple	Adult	32.8	24.3
19.94	8.94	Sugar_Maple	Adult	10.6	13.3
19.74	10.71	Sugar_Maple	Adult	38	22.5
15.58	11.09	Sugar_Maple	Adult	19.6	22.5
16.48	15.38	Sugar_Maple	Adult	22.8	22.5
14	17.87	Sugar_Maple	Adult	17.6	22.3
10.69	16.3	Sugar_Maple	Adult	28.2	25.7
12.85	15.05	Sugar_Maple	Adult	10.8	14.8
13.49	12.24	Sugar_Maple	Adult	31.2	23.8
14.58	10.5	Sugar_Maple	Adult	17.5	21.3
12.52	23.23	Sugar_Maple	Adult	39.6	22.7
11.3	25.48	Sugar_Maple	Adult	29.4	24
14.59	25.76	Sugar_Maple	Adult	49.8	25.6
17.61	27.58	Sugar_Maple	Adult	31	24.4
19.25	26.5	Sugar_Maple	Adult	11.1	14.4
17.5	21.15	Sugar_Maple	Adult	35.8	23.9
17.16	30.29	Sugar_Maple	Adult	32.4	23.9
14.64	35.48	Sugar_Maple	Adult	22	20.9
14.63	36.56	Sugar_Maple	Adult	10.5	13
15.54	37.76	Sugar_Maple	Adult	30.5	24
16.1	38.22	Sugar_Maple	Adult	28	24.7
12.12	37.21	Sugar_Maple	Adult	40.4	25.3
13.37	47.22	Sugar_Maple	Adult	32.6	25.8
11.59	48.97	Sugar_Maple	Adult	24.2	23.9
17.61	44.91	Sugar_Maple	Adult	27.1	23.9
19.3	42.45	Sugar_Maple	Adult	10	15
19.62	41.41	Sugar_Maple	Adult	18.3	20
12.59	45.07	Yellow_Birch	Adult	31.1	21.4
23.36	0.21	Sugar_Maple	Adult	15	16.2
23.84	3.73	Sugar_Maple	Adult	25	23.4
23.18	6.18	Sugar_Maple	Adult	27.3	24
21.07	8.85	Sugar_Maple	Adult	14.4	18.3
27.92	6.23	Sugar_Maple	Adult	14.4	18.2
26.48	1.8	Sugar_Maple	Adult	61.8	26.5
27.46	2.01	Sugar_Maple	Adult	17	16.9
28.99	10.57	Sugar_Maple	Adult	21.3	23.5
26.71	10.73	Sugar_Maple	Adult	27.1	24.4
