X	Y	Species	Type	Diam	Height
7.07	4.1	Sugar_Maple	Adult	18.9	15.9
5.63	5.81	Sugar_Maple	Adult	11.2	11
1.06	5.76	Sugar_Maple	Adult	18.8	13.9
0.32	9.38	Sugar_Maple	Adult	11	12.7
2.58	19.81	Sugar_Maple	Adult	30.2	19.4
8.47	19.27	Sugar_Maple	Adult	29.4	18.4
6.6	10.56	Sugar_Maple	Adult	14.2	13
3.64	27.04	Sugar_Maple	Adult	16.8	15.1
3.15	25.52	Sugar_Maple	Adult	34.5	20.4
2.67	25.51	Other	Adult	11.6	11
4.18	31.48	Sugar_Maple	Adult	12.9	11
4.57	31.48	Sugar_Maple	Adult	54	22.4
4.71	31.81	Sugar_Maple	Adult	12	9.1
3.02	44.12	Sugar_Maple	Adult	27	19.4
1.11	45.62	Sugar_Maple	Adult	15.5	9.3
0.94	48.51	Other	Adult	28.9	20.6
2.78	48.73	Sugar_Maple	Adult	35.9	20.5
9.54	41.79	Sugar_Maple	Adult	29	19.8
10.19	6.2	Sugar_Maple	Adult	30.4	19
12.55	3.02	Sugar_Maple	Adult	15.5	14.1
11.9	9.12	Sugar_Maple	Adult	21.8	16.6
17.53	9.24	Sugar_Maple	Adult	55.2	20.2
13.67	6.02	Yellow_Birch	Adult	28.7	14.9
15.65	1.65	Sugar_Maple	Adult	23.7	16.7
13.74	17.9	Sugar_Maple	Adult	12.1	11.7
16.95	16.87	Other	Adult	46	16.2
19.14	17.88	Sugar_Maple	Adult	28.4	19
17.34	15.83	Sugar_Maple	Adult	12.4	11.5
17.21	20.73	Red_Maple	Adult	22.3	17.6
17.27	23.5	Other	Adult	51.2	20
12.92	26.91	Sugar_Maple	Adult	45.1	19.1
12.09	25.87	Other	Adult	12.2	7.7
13.43	33.71	Sugar_Maple	Adult	14.7	9.5
14.95	36.65	Sugar_Maple	Adult	13.7	10.8
13.69	36.64	Sugar_Maple	Adult	44.6	20.2
12.13	38.62	Sugar_Maple	Adult	37.8	20.2
14.88	39.96	Sugar_Maple	Adult	22.6	18.1
19.45	36.61	Sugar_Maple	Adult	20.2	15.8
18.36	32.42	Sugar_Maple	Adult	43.5	20.3
16.01	30	Sugar_Maple	Adult	55.5	17.5
11.89	47.05	Sugar_Maple	Adult	30.7	18.3
14.2	41.98	Sugar_Maple	Adult	23.5	18.9
14.08	44.39	Sugar_Maple	Adult	15.4	15.8
14.07	46.64	Sugar_Maple	Adult	15.5	16.5
20.62	0.39	Sugar_Maple	Adult	12.5	13
21.53	3.26	Sugar_Maple	Adult	30.5	19.4
