X	Y	Species	Type	Diam	Height
4.63	1.29	Other	Adult	26.7	21.2
4.81	6.49	Sugar_Maple	Adult	18	21.4
8.68	10.21	Balsam_Fir	Adult	11.6	7.8
9.63	13.36	Yellow_Birch	Adult	41.2	24.1
8.68	13.86	Sugar_Maple	Adult	15	14.3
6.04	15.54	Sugar_Maple	Adult	33.7	20.6
8.51	19.02	Sugar_Maple	Adult	36.3	23.4
2.03	18.36	Sugar_Maple	Adult	16.8	17
1.77	18.4	Sugar_Maple	Adult	22.3	20.9
2.03	10.25	Sugar_Maple	Adult	23.6	20
1.64	21.89	Sugar_Maple	Adult	25.9	19.5
1.62	22.16	Sugar_Maple	Adult	28.9	20.9
1.6	27.84	Sugar_Maple	Adult	18.5	17.4
1.22	27.7	Sugar_Maple	Adult	26.6	20.4
5.88	27.8	Sugar_Maple	Adult	22	19.4
7.36	32	Sugar_Maple	Adult	19.8	18.2
7.69	33.51	Sugar_Maple	Adult	10.2	13.2
8.43	38.07	Sugar_Maple	Adult	29.3	21.6
6.84	38.93	Sugar_Maple	Adult	16.7	18.5
0.34	35.28	Sugar_Maple	Adult	14.9	14.3
4.1	42.53	Sugar_Maple	Adult	18.4	18
7.34	48.69	Sugar_Maple	Adult	21.3	18.5
8.27	47.03	Sugar_Maple	Adult	21.1	19.2
6.6	43.85	Sugar_Maple	Adult	32.3	23
7.7	41.24	Sugar_Maple	Adult	36	21.5
11.48	4.8	Sugar_Maple	Adult	19.8	21
12.06	4.79	Sugar_Maple	Adult	26.9	23.2
11.57	8.49	Sugar_Maple	Adult	32.9	21.9
12.63	8.23	Sugar_Maple	Adult	38.2	24.5
16.53	8.95	Sugar_Maple	Adult	42.3	21.2
16.66	4.53	Sugar_Maple	Adult	28.5	22.3
16.91	1.22	Sugar_Maple	Adult	25.2	21.1
17.73	13.72	Sugar_Maple	Adult	21.2	18.9
19.63	16.17	Sugar_Maple	Adult	41.9	21.8
12.41	17.26	Other	Adult	30.9	22.8
15.09	27.64	Sugar_Maple	Adult	13.7	13.5
15.08	25.72	Sugar_Maple	Adult	23.8	16.8
14.8	30.32	Sugar_Maple	Adult	19.5	15.8
10.96	31.94	Sugar_Maple	Adult	22.9	15.5
19.62	31.59	Sugar_Maple	Adult	27.8	18.5
17.88	32.62	Sugar_Maple	Adult	20.2	16.5
17.59	36.96	Sugar_Maple	Adult	32	19.6
17.75	37.7	Red_Maple	Adult	29	19
12.88	36.4	Sugar_Maple	Adult	10.5	12.6
13.06	33.3	Other	Adult	49	21.8
12.36	42.81	Balsam_Fir	Adult	11.7	11
11.29	40.15	Sugar_Maple	Adult	26.8	19.9
11.69	45.76	Sugar_Maple	Adult	32.3	22.9
19.94	46.83	Sugar_Maple	Adult	37.8	21.5
20.47	1.12	Sugar_Maple	Adult	32	21.9
25.16	3.05	Red_Maple	Adult	35.8	22
26.3	9.01	Sugar_Maple	Adult	74.7	23.2
29.19	0.59	Sugar_Maple	Adult	19.7	18.3
24.59	10.22	Sugar_Maple	Adult	37.4	23.4
27.88	19.7	Sugar_Maple	Adult	25.9	19.1
20.45	19.89	Sugar_Maple	Adult	25.5	18.1
24.6	13.53	Balsam_Fir	Adult	11.3	8
23.29	26.46	Sugar_Maple	Adult	43.2	22
23.93	28.7	Sugar_Maple	Adult	24.5	11
27.27	29.36	Sugar_Maple	Adult	19.6	15
27.14	29.27	Sugar_Maple	Adult	23	19
27.84	31.77	Sugar_Maple	Adult	25.7	19.7
26.75	32.51	Sugar_Maple	Adult	22.6	21.3
26.59	32.5	Sugar_Maple	Adult	18.2	19
28.22	39.02	Sugar_Maple	Adult	20.6	19
22.47	36.55	Sugar_Maple	Adult	20.1	16
23.35	33.64	Sugar_Maple	Adult	30	11.9
23.72	41.35	Sugar_Maple	Adult	20	16.9
23.45	45.74	Sugar_Maple	Adult	15.5	16
21.22	48.92	Sugar_Maple	Adult	31	21.5
20.78	49.97	Sugar_Maple	Adult	16.6	18.3
26.58	42.51	Sugar_Maple	Adult	24.2	21
31.15	3.34	Sugar_Maple	Adult	34.2	20
30.11	7.59	Sugar_Maple	Adult	11.9	9.9
37.72	9.07	Sugar_Maple	Adult	34.4	23.6
37.94	3.15	Yellow_Birch	Adult	36.5	22.3
33.6	11.62	Sugar_Maple	Adult	34	20.5
31.59	17.86	Sugar_Maple	Adult	30.5	21.2
32.05	21.76	Sugar_Maple	Adult	30.3	20
32.38	21.47	Sugar_Maple	Adult	32.7	20
33.71	21	Sugar_Maple	Adult	17.8	17.5
32.23	28.37	Sugar_Maple	Adult	24.4	19.5
32.02	28.46	Sugar_Maple	Adult	28.9	19
37.35	20.85	Sugar_Maple	Adult	22.5	20.1
36.39	30.37	Sugar_Maple	Adult	18.9	16
36.81	36.35	Sugar_Maple	Adult	27.5	20.6
36.62	36.57	Sugar_Maple	Adult	25.8	21.5
39.09	38.87	Sugar_Maple	Adult	20.2	20.6
32.57	35.7	Sugar_Maple	Adult	36.2	22.9
33.58	34.31	Sugar_Maple	Adult	28.2	19.5
31.46	45.2	Balsam_Fir	Adult	10.5	8.3
34.25	41.62	Sugar_Maple	Adult	41.6	21
31.64	47.32	Sugar_Maple	Adult	52.2	22.8
38.55	44.68	Sugar_Maple	Adult	34.2	21.8
41.03	5.88	Sugar_Maple	Adult	18.9	18.4
45.19	8.32	Sugar_Maple	Adult	23.4	24.3
45.56	8.3	Sugar_Maple	Adult	20.8	23.3
46.34	1.55	Sugar_Maple	Adult	33.9	23.8
48.8	11.89	Sugar_Maple	Adult	48.2	20.7
45.66	15.99	Sugar_Maple	Adult	10.4	9.9
40.3	14.98	Sugar_Maple	Adult	14.8	15.1
40.71	14.72	Sugar_Maple	Adult	29.7	20.8
43.2	12.87	Sugar_Maple	Adult	16.4	16.9
44.36	23.07	Sugar_Maple	Adult	12.8	15
40.48	24.59	Sugar_Maple	Adult	39.5	19.8
41.01	29.75	Sugar_Maple	Adult	21.4	20.5
47.29	29.02	Sugar_Maple	Adult	23.9	18.4
46.25	20.81	Sugar_Maple	Adult	34.8	21
49.16	32.3	Sugar_Maple	Adult	20.7	19.2
48.34	34.66	Sugar_Maple	Adult	16.3	18
48.19	38.21	Sugar_Maple	Adult	15	16.6
41.19	39.98	Sugar_Maple	Adult	13.3	15.4
42.13	36.14	Sugar_Maple	Adult	36.4	21.1
43.62	30.22	Sugar_Maple	Adult	29.9	21.1
40.38	44.08	Sugar_Maple	Adult	26.4	20.1
45.84	45.02	Sugar_Maple	Adult	13.5	15.5
47.89	43.17	Sugar_Maple	Adult	72.3	19.9
51.59	4.21	Sugar_Maple	Adult	47.2	25.9
53.57	3.35	Balsam_Fir	Adult	10.5	8.3
56.69	4.99	Yellow_Birch	Adult	32.4	22
56.57	14.09	Sugar_Maple	Adult	54.9	23.8
57.14	19.89	Sugar_Maple	Adult	16	13.1
51.37	21.59	Sugar_Maple	Adult	11.4	14.1
54.19	26.38	Sugar_Maple	Adult	19.8	16.1
51.48	29.64	Sugar_Maple	Adult	22.2	19.1
54.61	29.88	Sugar_Maple	Adult	10.9	14.6
59.6	28.77	Sugar_Maple	Adult	14.8	17.4
59.44	21.36	Sugar_Maple	Adult	13.7	11.3
56.77	35.94	Sugar_Maple	Adult	21.4	21.1
58.81	38.52	Sugar_Maple	Adult	23.9	20.2
53.81	38.37	Sugar_Maple	Adult	11.2	11.4
52.52	36.1	Sugar_Maple	Adult	17.8	19.1
51.25	35.87	Sugar_Maple	Adult	28.3	20.7
52.15	33.69	Sugar_Maple	Adult	16.9	15.9
52.81	41.91	Sugar_Maple	Adult	25	16.4
59.77	46.09	Sugar_Maple	Adult	11.1	13.4
60.71	0.71	Sugar_Maple	Adult	26.7	23
61.63	1.56	Sugar_Maple	Adult	24.5	22.6
64.37	1.56	Sugar_Maple	Adult	37.3	22.1
66.45	4.38	Sugar_Maple	Adult	14.7	13.2
65.94	6.08	Sugar_Maple	Adult	37.4	24.4
63.56	9.35	Sugar_Maple	Adult	31	24
67.41	8.46	Sugar_Maple	Adult	28.3	23.6
68.14	7.61	Sugar_Maple	Adult	11.6	11
65.08	10.45	Balsam_Fir	Adult	11	10
64.35	10.22	Sugar_Maple	Adult	27.1	21.9
68.54	19.27	Sugar_Maple	Adult	20.7	17.1
66.35	19.59	Sugar_Maple	Adult	24.6	21.1
66.28	19.75	Sugar_Maple	Adult	10.5	13.3
63.06	13.27	Sugar_Maple	Adult	18	17.4
60.86	23.19	Other	Adult	28.4	24
62.35	23.14	Other	Adult	27.2	20.9
62.22	23.45	Other	Adult	22.4	22.9
62.64	23.19	Other	Adult	34	22.8
61.37	28.79	Sugar_Maple	Adult	34.5	22.9
64.83	27.12	Sugar_Maple	Adult	25.2	20.8
66.91	22.99	Sugar_Maple	Adult	22.2	22.1
67.23	22.94	Sugar_Maple	Adult	27	20.5
62.91	36.63	Sugar_Maple	Adult	13.6	15
60.1	35.4	Sugar_Maple	Adult	32	21.1
61.04	34.28	Sugar_Maple	Adult	26.4	21.5
61.04	32.75	Sugar_Maple	Adult	14.5	15
62.62	32.61	Sugar_Maple	Adult	19.5	18.8
64.08	42.6	Sugar_Maple	Adult	56.7	25.5
60.09	44.35	Sugar_Maple	Adult	45	24.8
65.21	49.3	Sugar_Maple	Adult	38.3	22.5
68.5	41.84	Sugar_Maple	Adult	30.9	21.5
70.65	3.09	Sugar_Maple	Adult	14.5	15.2
75.88	8.94	Sugar_Maple	Adult	26.8	21.4
76.5	14.26	Sugar_Maple	Adult	35.5	23.6
75.39	13.57	Sugar_Maple	Adult	24.5	16.1
76.86	18.82	Other	Adult	11.5	12.6
73.72	15.99	Sugar_Maple	Adult	28	22.3
73.25	16.09	Sugar_Maple	Adult	29.9	24.2
70.67	24.25	Sugar_Maple	Adult	49.1	24.3
73.94	29.84	Other	Adult	16.3	7
75.58	28.18	Sugar_Maple	Adult	26.8	23.5
79.37	28.38	Other	Adult	29.1	20.5
78.19	21.86	Sugar_Maple	Adult	21.2	18.7
78.52	32.19	Sugar_Maple	Adult	36.4	21.2
78.96	33.44	Sugar_Maple	Adult	25.2	20.3
75.85	37	Sugar_Maple	Adult	32.8	23.4
74.48	37.62	Sugar_Maple	Adult	21.6	20.2
74.35	37.42	Sugar_Maple	Adult	21.5	16.1
70.08	48.8	Yellow_Birch	Adult	62	21
74.99	45.99	Sugar_Maple	Adult	24	21.4
77.35	44.84	Sugar_Maple	Adult	19.4	18.3
76.54	41.05	Sugar_Maple	Adult	30.2	22.3
80.28	4.64	Sugar_Maple	Adult	41	24
80.57	4.87	Sugar_Maple	Adult	41.5	22.5
88.6	9.2	Sugar_Maple	Adult	47.2	23.5
89.35	0	Sugar_Maple	Adult	23.4	21.5
85	12.14	Sugar_Maple	Adult	34	23.2
80.43	25.38	Sugar_Maple	Adult	45.1	23.6
84.99	25.6	Sugar_Maple	Adult	14.2	15.4
86.58	22.23	Sugar_Maple	Adult	18.7	18.5
87.68	36.08	Sugar_Maple	Adult	12.1	14
87.52	39.54	Sugar_Maple	Adult	32.7	23.8
82.11	37.84	Sugar_Maple	Adult	31.9	22.7
81.17	44.14	Sugar_Maple	Adult	19.7	20.3
81.01	46.54	Sugar_Maple	Adult	21.3	20.1
81.36	48.69	Sugar_Maple	Adult	27.4	22.7
84.88	49.18	Sugar_Maple	Adult	18.2	21.2
84.94	48.99	Sugar_Maple	Adult	21.9	21.3
86.23	49.08	Sugar_Maple	Adult	34.9	21
86.01	45.18	Sugar_Maple	Adult	21.6	19.2
93.99	0.22	Sugar_Maple	Adult	38	21.9
92.46	3	Sugar_Maple	Adult	33.9	19.4
97.26	9.37	Sugar_Maple	Adult	18.5	19.8
98.3	6.59	Sugar_Maple	Adult	11	13.7
98.96	5.47	Sugar_Maple	Adult	22.5	22.2
97.96	1.39	Red_Maple	Adult	24.8	23.3
99.99	0.32	Yellow_Birch	Adult	38	23.7
92.25	17.99	Sugar_Maple	Adult	13.2	12.1
92.16	10.26	Sugar_Maple	Adult	27.7	21.8
94.99	20.32	Sugar_Maple	Adult	18.2	18.4
95.81	23.13	Sugar_Maple	Adult	17.8	21
93.75	26.15	Sugar_Maple	Adult	36.5	21.9
90.26	25.51	Sugar_Maple	Adult	11.7	12
90.58	26.99	Sugar_Maple	Adult	15.3	17.6
