X	Y	Species	Type	Diam	Height
0.98	3.68	Other	Adult	13.5	11.9
1.85	3.56	Trembling_Aspen	Adult	16.8	17
0.52	5.82	Jack_Pine	Adult	14.4	15.8
2.6	5.57	Other	Adult	12	15.4
3.19	6.21	Other	Adult	15	14.5
1.26	9.53	Other	Adult	18	16.5
3.9	9.65	Jack_Pine	Adult	17.9	17
4.79	9.29	Other	Adult	14.3	13.4
6.86	9.38	Other	Adult	16.2	13.7
8.71	9.7	Jack_Pine	Adult	18.7	16.9
8.95	7.74	Jack_Pine	Adult	18.8	17
9.91	6.71	Jack_Pine	Adult	20.5	17.6
7.65	4.89	Other	Adult	15.4	15.7
5	2.69	Other	Adult	22.6	19.3
3.42	1.19	Other	Adult	19.5	18.1
6.16	1.93	Other	Adult	14.9	17.1
9.33	2.3	Other	Adult	16.5	15.6
8.58	11.74	Other	Adult	15.1	16.7
8.19	12.96	Other	Adult	16.5	17
7.45	15.61	Other	Adult	14.8	14.8
7.01	17.14	Other	Adult	17.2	16
7.02	18.61	Other	Adult	15	16.7
9.79	17.65	Other	Adult	14.3	14.9
9.17	19.45	Other	Adult	15.8	16.2
5.49	19.42	Other	Adult	18.2	18.3
2.14	19.04	Other	Adult	11.9	14.9
0.32	18.19	Other	Adult	17.9	17.6
1.64	13.72	Jack_Pine	Adult	20.1	17.3
4.8	13.54	Other	Adult	14.3	13.6
5.46	13.88	Jack_Pine	Adult	21.6	19.8
5.98	11.79	Other	Adult	18.5	19.1
0.84	11.14	Jack_Pine	Adult	19.5	18
2.37	21.84	Other	Adult	20.2	19.2
3.51	21.22	Other	Adult	16.1	16.2
2.73	23.19	Other	Adult	13.6	15.3
0.04	22.21	Other	Adult	16.8	16.8
1.7	24.99	Other	Adult	16.9	18.5
3.61	25.28	Other	Adult	19.1	20.2
2.69	28.26	Other	Adult	10.5	14
1.13	28.16	Other	Adult	12.1	15.8
0.42	28.89	Other	Adult	16.2	18
4.45	28.39	Other	Adult	15.3	16.6
4.24	28.05	Other	Adult	15	18.6
6.71	29.67	Other	Adult	14.5	15.5
6.23	26.75	Other	Adult	10.4	12.8
6.76	23.58	Other	Adult	16.4	17.2
5.24	21.73	Other	Adult	12.9	15
7.44	22.11	Other	Adult	12	15.7
8.21	21.08	Other	Adult	14.7	17.4
9.69	22.85	Other	Adult	14.7	16.6
8.79	30.25	Other	Adult	17	18.3
7.38	30.79	Other	Adult	11.1	15.4
9.49	32.08	Other	Adult	10.5	13.9
6.07	32.1	Other	Adult	22.7	19.2
6.76	33.78	Other	Adult	13.5	14.8
7.39	36.34	Jack_Pine	Adult	17	17.4
8.84	34.59	Other	Adult	19.3	17.7
7.15	38.67	Other	Adult	22.5	20.2
7.48	39.76	Other	Adult	11.1	12
7.07	39.62	Other	Adult	18.4	16.8
5.77	39.37	Other	Adult	15.3	14.8
2.93	39.37	Other	Adult	14.7	15.5
1.44	39.57	Other	Adult	17.1	16.2
5.42	36.93	Other	Adult	12.9	14.5
2.75	35.43	Other	Adult	15.9	16.8
2.59	35.12	Jack_Pine	Adult	22.7	17.3
4.57	31.88	Jack_Pine	Adult	16	15.8
3.46	31.22	Other	Adult	17.3	19
3.11	30	Other	Adult	15	17.8
0.13	31.93	Other	Adult	19.9	20.4
2.94	41.81	Jack_Pine	Adult	15.6	16.8
3.49	43.56	Other	Adult	21	19.3
