X	Y	Species	Type	Diam	Height
1.42	4.9	Red_Maple	Adult	29.6	24.7
0.2	6.75	Sugar_Maple	Adult	35.4	21.5
6	8.29	Sugar_Maple	Adult	10	12
8.21	8.41	Other	Adult	32.1	22
8.59	6.04	Sugar_Maple	Adult	19.6	19
7.78	5.1	Sugar_Maple	Adult	12	14.7
9.12	2.12	Sugar_Maple	Adult	15.7	15
9.44	2.64	Sugar_Maple	Adult	29	17
1.47	11.13	Sugar_Maple	Adult	15.7	19.3
2.84	14.94	Sugar_Maple	Adult	39.2	19.8
1.97	19.14	Other	Adult	24.7	21.5
8.46	19.07	Sugar_Maple	Adult	27.2	20.2
9.74	15.39	Sugar_Maple	Adult	10.2	11.7
9.26	12.12	Other	Adult	35.9	22.5
9.03	28.65	Red_Maple	Adult	40.1	20.5
6.56	26.92	Other	Adult	16	15.8
5.16	23.06	Sugar_Maple	Adult	15.8	19.5
2.77	25.1	Sugar_Maple	Adult	10.5	11.6
2.77	25.1	Sugar_Maple	Adult	17.5	16.5
2.23	28.2	Sugar_Maple	Adult	40.8	23.5
0.43	23.22	Sugar_Maple	Adult	10.2	15.5
7.45	36.52	Sugar_Maple	Adult	33.3	19.2
5.99	33.82	Sugar_Maple	Adult	29.1	22.3
5.31	33.75	Sugar_Maple	Adult	18.9	19.1
5.41	31.23	Sugar_Maple	Adult	16.6	14.3
0.97	35.67	Sugar_Maple	Adult	21.4	19
1.67	37.63	Sugar_Maple	Adult	26.9	20.3
0.79	45.57	Sugar_Maple	Adult	26	21.5
1.06	48.01	Sugar_Maple	Adult	21.2	20
1.06	48.01	Sugar_Maple	Adult	14.5	18
7.33	41	Sugar_Maple	Adult	17.2	16.7
8.66	45.54	Other	Adult	23.7	17.8
8.02	45.28	Other	Adult	24.5	17.5
5.75	44.97	Sugar_Maple	Adult	10.9	14.6
9.4	48.98	Sugar_Maple	Adult	20.2	21.2
14.25	8.72	Other	Adult	27.5	18.5
16.03	1.66	Red_Maple	Adult	15.1	7.5
17.24	9.19	Sugar_Maple	Adult	12.8	13.7
19.57	8.65	Yellow_Birch	Adult	29	18.5
12.23	14.14	Sugar_Maple	Adult	19.8	21
19.64	17.64	Sugar_Maple	Adult	24.5	21
19.64	17.64	Sugar_Maple	Adult	30.4	22
19.74	13.18	Sugar_Maple	Adult	37.6	20.5
11.02	21.66	Sugar_Maple	Adult	24.5	18.5
10.74	23.58	Other	Adult	31.7	19.7
18.6	27.75	Yellow_Birch	Adult	17.5	20
18.98	33.97	Sugar_Maple	Adult	36.9	21.8
14.46	33.21	Other	Adult	28.1	14.8
13.88	33.52	Sugar_Maple	Adult	11.1	13.3
13.54	33.39	Sugar_Maple	Adult	12.4	12.8
13.06	38.14	Sugar_Maple	Adult	19.5	15.5
11.79	30.93	Sugar_Maple	Adult	27.1	20.5
10.19	33.34	Red_Maple	Adult	36.5	20.5
11.64	44.23	Sugar_Maple	Adult	25.4	19
10.87	46.69	Sugar_Maple	Adult	13	11.5
10.01	49.3	Other	Adult	10.3	14
15.63	41.56	Sugar_Maple	Adult	37.2	21
18.08	49	Other	Adult	24.2	20.5
21.85	1.32	Other	Adult	11.5	12
28.43	1.07	Other	Adult	14.3	11.8
29.65	2.22	Other	Adult	20.8	17.2
25.83	4.94	Other	Adult	11.6	10.5
22.71	9.78	Red_Maple	Adult	17.8	16
26.58	8.86	Other	Adult	21.5	12.5
25.78	7.61	Sugar_Maple	Adult	15.9	15.5
20.64	13.68	Yellow_Birch	Adult	14.8	14.5
25.25	17.92	Sugar_Maple	Adult	14.5	13.8
26.47	17.62	Other	Adult	27.5	18.5
28.92	15.9	Other	Adult	39.4	20
24.55	12.64	Sugar_Maple	Adult	35.6	19.5
28.98	22.56	Other	Adult	25.5	20
29.24	29.07	Sugar_Maple	Adult	12	15.8
23.83	26.27	Other	Adult	29.2	20
20.13	24.8	Other	Adult	38	22.5
21.92	23.22	Sugar_Maple	Adult	10.5	13.2
23.65	22.13	Other	Adult	12.1	14.5
28.14	37.63	Other	Adult	14.8	17.2
27.18	38.89	Sugar_Maple	Adult	18.2	17.8
24.21	34.03	Sugar_Maple	Adult	38.5	20.5
22.52	46.78	Sugar_Maple	Adult	24.5	19.8
29.58	48.79	Sugar_Maple	Adult	32.3	20.8
27.39	42.73	Sugar_Maple	Adult	12.6	14.3
30.33	6.59	Other	Adult	25.9	21
37.16	4.67	Other	Adult	29.4	17
31.08	13.13	Other	Adult	26.3	20.5
33.51	14.61	Other	Adult	19.8	19.7
33.98	10.98	Other	Adult	38.7	19.8
38.54	20	Sugar_Maple	Adult	18	21.8
36.01	23.7	Other	Adult	26.2	18.5
32.44	29.51	Sugar_Maple	Adult	10.3	12
34.04	26.2	Other	Adult	37.4	9.8
37.79	37.4	Sugar_Maple	Adult	30.8	21.3
32.4	30	Sugar_Maple	Adult	25.1	20.2
32.18	36.23	Other	Adult	27	21
