X	Y	Species	Type	Diam	Height
1.26	1.64	Other	Adult	22	18.1
0.51	3.14	Other	Adult	21	17.5
4.09	0	Other	Adult	14	15
4.31	1.38	Balsam_Fir	Adult	17	13.6
4.28	6.05	Balsam_Fir	Adult	20.7	16.7
1.96	5.78	White_Spruce	Adult	29.7	19.7
0.48	7.17	Balsam_Fir	Adult	11.6	11
0.69	9.78	Balsam_Fir	Adult	21.8	15
5.68	8.99	Balsam_Fir	Adult	15.2	13.2
9.9	5.24	White_Spruce	Adult	38.1	26.6
9.34	2.31	Balsam_Fir	Adult	10	8.1
8.3	2.79	White_Spruce	Adult	43.3	22.9
9.82	11.59	White_Spruce	Adult	30.5	13.5
6.2	11.09	Balsam_Fir	Adult	16.5	13.5
5.87	14.64	Balsam_Fir	Adult	23	18.8
8.59	15.48	Balsam_Fir	Adult	26.8	18.9
9.64	19.69	Balsam_Fir	Adult	19.2	16.9
4.06	19.88	Other	Adult	12.1	10.8
3.13	18.96	Balsam_Fir	Adult	19.7	16.9
0.35	19.75	White_Spruce	Adult	19.8	15.9
0.73	10.56	Balsam_Fir	Adult	11.1	10
2.02	21.44	Other	Adult	14.7	13.7
2.95	23.81	White_Spruce	Adult	12	10.6
1.49	27.13	Balsam_Fir	Adult	20.1	16.2
2.36	29.04	White_Spruce	Adult	17.9	15.3
7.26	27.58	Balsam_Fir	Adult	21.9	17.5
9.04	28.31	Balsam_Fir	Adult	28	20.8
6.32	21.9	Balsam_Fir	Adult	32.9	21.8
8.13	22.7	Balsam_Fir	Adult	14.7	13.2
8.24	21.3	Other	Adult	14.4	14.2
8.82	20.84	Other	Adult	14.9	14.7
7.94	30	Balsam_Fir	Adult	18.7	11.8
6.75	30.73	White_Spruce	Adult	10.6	9.2
6.84	35.65	White_Spruce	Adult	11.3	9.3
6.1	37.44	White_Spruce	Adult	21.8	18.4
1.92	36.18	Balsam_Fir	Adult	16.6	15.5
3.55	36.08	Balsam_Fir	Adult	14.1	14.6
3.62	34.83	Balsam_Fir	Adult	25.1	18.7
2.21	32.77	Balsam_Fir	Adult	17.9	15.3
3.03	30.21	Balsam_Fir	Adult	10.1	9.7
1.28	40.26	White_Spruce	Adult	20.8	16.5
1.05	41.91	Balsam_Fir	Adult	12.7	11.5
2.02	42.44	Balsam_Fir	Adult	13.6	14.4
3.7	42.33	Paper_Birch	Adult	11.1	11.8
7.52	42.51	Balsam_Fir	Adult	20	15.8
3.5	44.05	Balsam_Fir	Adult	17.7	17.3
4.11	47.93	Balsam_Fir	Adult	19.1	17.8
2.61	47.93	White_Spruce	Adult	30.6	21.8
0.56	49.07	Balsam_Fir	Adult	15.6	14.6
8.67	47.53	Balsam_Fir	Adult	16.1	13.9
9.02	45.08	Balsam_Fir	Adult	20	18.2
9.28	42.29	Balsam_Fir	Adult	14.7	15.3
10.95	0.49	Balsam_Fir	Adult	13.3	12.6
12.95	2.35	Balsam_Fir	Adult	11.9	10.1
13.75	6.11	Balsam_Fir	Adult	19.3	16.8
10.87	7.43	Balsam_Fir	Adult	25.5	18.4
18.61	7.67	Balsam_Fir	Adult	11.8	8.2
19.16	7.45	White_Spruce	Adult	36.3	27.2
17.29	5.31	Balsam_Fir	Adult	17.5	14.5
15.88	4.41	Balsam_Fir	Adult	20.6	16.9
18.33	3.19	White_Spruce	Adult	39.2	25.4
17.59	2.44	Balsam_Fir	Adult	13.3	11.8
15.27	10.92	Balsam_Fir	Adult	18.9	15.2
19.39	17.29	Balsam_Fir	Adult	21.8	17
13.8	18.66	Balsam_Fir	Adult	21	17.1
13.75	11.31	Balsam_Fir	Adult	11.6	12.6
10.77	11.56	Balsam_Fir	Adult	14.9	13.2
10.45	22.61	Balsam_Fir	Adult	16.4	14.2
13	21.78	Balsam_Fir	Adult	21.6	16.4
15.48	22.87	White_Spruce	Adult	33.2	20.2
11.05	26.85	Balsam_Fir	Adult	22	17.6
18.27	21.36	White_Spruce	Adult	35	22
17.83	20.49	Balsam_Fir	Adult	10.3	8.8
19.37	20.3	White_Spruce	Adult	25.8	18
19.9	30.39	Paper_Birch	Adult	10.6	8.3
15.28	32.04	Balsam_Fir	Adult	21.7	17.7
14.62	34.85	Balsam_Fir	Adult	20.6	17.6
17.58	35.97	Balsam_Fir	Adult	17.4	15.4
19.5	34.46	Balsam_Fir	Adult	19	13.2
19.82	33.24	Balsam_Fir	Adult	14.5	6.4
19.76	35.79	Other	Adult	14.4	13.2
10.91	36.51	Balsam_Fir	Adult	20.3	14.1
12.38	36.86	Balsam_Fir	Adult	18.4	15.6
13.32	35.9	White_Spruce	Adult	25.6	19.7
11.69	34.01	Balsam_Fir	Adult	25.6	19.6
11.69	40.68	Balsam_Fir	Adult	31.7	21.1
11.46	44.38	Balsam_Fir	Adult	17.5	15.5
10.36	47.66	Paper_Birch	Adult	11.8	12.5
18.04	49.31	Balsam_Fir	Adult	14.8	14.2
18.31	48.57	Balsam_Fir	Adult	13	6.4
18.56	46.76	Balsam_Fir	Adult	22.2	12.8
19.12	41.79	Balsam_Fir	Adult	22.9	18.6
20.56	3.62	Balsam_Fir	Adult	16.8	14.7
24.94	6.42	Balsam_Fir	Adult	21.7	17.2
22.14	7.83	Balsam_Fir	Adult	26.8	22.5
28.4	3.84	Balsam_Fir	Adult	25.5	19
27.97	1.36	Balsam_Fir	Adult	14.9	11.4
29.61	1.84	Balsam_Fir	Adult	18.2	13.2
29.5	13.9	Balsam_Fir	Adult	24.4	17.3
26.58	16.6	White_Spruce	Adult	17.6	14
27.59	19.91	Balsam_Fir	Adult	17.2	14.5
25.11	18.53	Balsam_Fir	Adult	15.8	14.3
20.78	15.47	Balsam_Fir	Adult	11.4	10.3
23.9	20	Balsam_Fir	Adult	18.4	16.1
24.53	22.25	Balsam_Fir	Adult	11.3	10.4
20.32	26.22	Balsam_Fir	Adult	11.1	10.3
27.24	23.81	Balsam_Fir	Adult	10.4	9
27.02	22.7	Balsam_Fir	Adult	12.1	12.3
28.8	24.95	White_Spruce	Adult	11.5	9.5
29.61	20.92	Balsam_Fir	Adult	12.4	5.7
27.17	35.27	Balsam_Fir	Adult	18.3	15.7
24.5	39.46	Balsam_Fir	Adult	13.5	11.6
20.24	38.51	Balsam_Fir	Adult	23.2	19.9
21.48	38.18	Balsam_Fir	Adult	25.5	21.7
22.05	36.47	Balsam_Fir	Adult	19.4	15.5
23.89	33.89	Balsam_Fir	Adult	25.6	18.9
28.6	44.2	Balsam_Fir	Adult	10.8	7.1
24.29	41.18	White_Spruce	Adult	26.5	19.4
22.17	42.69	Balsam_Fir	Adult	15.5	13.5
22.72	45.9	Balsam_Fir	Adult	23.9	19.1
23.74	45.07	Balsam_Fir	Adult	10.1	10.3
21.43	47.06	Balsam_Fir	Adult	21.4	16.4
21.5	49.03	Balsam_Fir	Adult	20.2	15.5
23.62	48.51	White_Spruce	Adult	17.5	16.6
26.06	49.24	White_Spruce	Adult	22.6	14.9
29.32	47.57	Balsam_Fir	Adult	10.3	8.4
27.43	46.87	Balsam_Fir	Adult	16.6	9.8
26.47	42.73	White_Spruce	Adult	24.7	15.2
26.23	41.66	White_Spruce	Adult	29.6	21.8
29.16	40.33	Balsam_Fir	Adult	16.5	11.1
33.53	1.57	Balsam_Fir	Adult	28.4	20.4
31.21	6.63	Balsam_Fir	Adult	11.3	13.7
33.67	7.07	Balsam_Fir	Adult	25.9	16.8
35.02	4.88	Balsam_Fir	Adult	22.4	17.8
36.43	2.1	Balsam_Fir	Adult	27.8	19.3
38.21	11.37	Balsam_Fir	Adult	27.2	11
38.77	13.26	Balsam_Fir	Adult	14.3	14.8
36.99	16.94	Balsam_Fir	Adult	23.5	18.7
39.18	16.99	Balsam_Fir	Adult	25.1	19.2
35.07	17.79	Balsam_Fir	Adult	22.3	16.6
34.08	18.43	White_Spruce	Adult	12.1	9.2
31.65	18.82	Paper_Birch	Adult	13.3	9.2
31.75	18.46	Other	Adult	17	12.8
31.19	14.17	White_Spruce	Adult	24.2	17.1
30.61	20.35	Balsam_Fir	Adult	15.1	14.2
33.61	23.21	Balsam_Fir	Adult	17.3	14.5
31.76	25.77	Balsam_Fir	Adult	35.9	21.3
34.67	24.83	Balsam_Fir	Adult	14.5	11.7
32.44	27.07	Other	Adult	19.4	15
37.95	27.02	Paper_Birch	Adult	13.6	13.3
36.86	27.28	Balsam_Fir	Adult	10.4	9.8
36.67	21.74	Paper_Birch	Adult	16	8.5
38.86	30.38	Balsam_Fir	Adult	27.4	17.9
38.25	30.29	Balsam_Fir	Adult	11.3	9.7
36.3	32.93	White_Spruce	Adult	18.5	15.1
38.17	33.27	Balsam_Fir	Adult	19.3	15
36.06	36.75	Balsam_Fir	Adult	20.2	15.1
34.97	35.26	Balsam_Fir	Adult	11.6	9.5
33.54	39.01	Balsam_Fir	Adult	27.1	22.2
32.24	37.84	Balsam_Fir	Adult	19.7	16.5
31.12	33.95	Balsam_Fir	Adult	20.7	14.2
33.45	31.72	Balsam_Fir	Adult	30.5	19.4
34.08	40.66	Balsam_Fir	Adult	11.8	10.1
31.23	42.85	Balsam_Fir	Adult	31.5	20.7
31.78	46.96	Balsam_Fir	Adult	14	12.3
30.65	47.75	White_Spruce	Adult	21.4	17.6
32.47	48.49	White_Spruce	Adult	24	18.9
37.4	48.09	White_Spruce	Adult	30.5	19.9
36.55	40.83	Balsam_Fir	Adult	20.4	17.9
41.79	4.62	White_Spruce	Adult	23.6	15
42.68	8.78	Balsam_Fir	Adult	24.3	14.6
46.71	7.67	White_Spruce	Adult	16.4	15.2
48.55	4.07	Balsam_Fir	Adult	21	15.7
45.71	3.87	Balsam_Fir	Adult	21.9	15.3
46.32	2.77	Balsam_Fir	Adult	24.8	19.1
48.94	13.2	White_Spruce	Adult	12.7	10.7
47.93	15.58	White_Spruce	Adult	19.3	14.7
48.34	19.31	Balsam_Fir	Adult	30.7	19
41.03	18.83	Balsam_Fir	Adult	20.5	16.7
42.07	14.04	White_Spruce	Adult	37	21.4
41.17	21.37	White_Spruce	Adult	21.7	16.3
43.99	20.73	Paper_Birch	Adult	15.6	13.6
44.21	20.97	Balsam_Fir	Adult	23.6	18.7
43.07	22.47	Paper_Birch	Adult	10.3	8.9
41.06	25.26	White_Spruce	Adult	12.5	11.1
40.13	28.55	Balsam_Fir	Adult	22.4	17
42.45	27.54	Balsam_Fir	Adult	15.4	12.2
42.72	28.55	Balsam_Fir	Adult	17.5	13.9
47.2	28.49	Balsam_Fir	Adult	10.3	10.1
49.7	25.04	Balsam_Fir	Adult	13.5	10.8
48.77	25.33	Paper_Birch	Adult	12.2	9.6
46.22	25.77	Balsam_Fir	Adult	10.7	8
45	24.5	Balsam_Fir	Adult	10.3	8.2
45.94	23.77	Balsam_Fir	Adult	20.6	16
46.77	23.07	Balsam_Fir	Adult	14	13.6
47.08	22.13	Balsam_Fir	Adult	20.5	17
49.96	31.61	Balsam_Fir	Adult	12	12.3
46.63	30.93	Balsam_Fir	Adult	16.4	12.9
44.67	31.78	Paper_Birch	Adult	21	14.9
48.65	36.57	Balsam_Fir	Adult	19.5	15.7
47.97	38.97	Balsam_Fir	Adult	18.2	14.4
47.02	39.07	Balsam_Fir	Adult	22.3	17.8
42.73	36.73	White_Spruce	Adult	26.8	21.8
44.08	34.93	Balsam_Fir	Adult	16.9	16.5
41.28	35.73	White_Spruce	Adult	19.5	12.5
42.82	30.4	Balsam_Fir	Adult	12.5	12.4
46.7	40.92	Balsam_Fir	Adult	19	13.3
46.05	43.85	Balsam_Fir	Adult	11.4	10.7
48.23	46.01	White_Spruce	Adult	15.5	14.2
48.47	48.87	Balsam_Fir	Adult	19.1	14.2
45.67	49.59	Balsam_Fir	Adult	13.2	12.3
43.01	49.22	Balsam_Fir	Adult	30.5	19.7
43.12	44	Balsam_Fir	Adult	10.5	10.2
43.61	43.34	Balsam_Fir	Adult	27.3	21.3
41.8	44.39	Balsam_Fir	Adult	14.7	11.1
43.33	40.3	Balsam_Fir	Adult	20.1	11.2
