X	Y	Species	Type	Diam	Height
1.22	1.32	Other	Adult	16.7	13.5
4.97	1.05	Other	Adult	13.8	12.5
0.35	3.3	Other	Adult	18.5	13.3
0.7	4.87	Other	Adult	20.2	13.6
3.14	5.12	Other	Adult	14.9	11.9
5.26	4.77	Other	Adult	15.2	12.7
0.07	8	Other	Adult	17.5	12.9
1.62	8.73	Balsam_Fir	Adult	14.1	7.2
2.99	8.54	Other	Adult	17.4	11.2
4.47	8.86	Other	Adult	17	12.2
8.49	9.12	Other	Adult	15	11.5
7.89	7.59	Other	Adult	16.6	12.5
7.84	7.58	Other	Adult	16.8	13.3
7.64	6.91	Other	Adult	12.5	10.9
8.49	6.66	Other	Adult	11.8	9.4
8.7	5.98	Other	Adult	11.7	11.2
7.26	5.42	Other	Adult	12.5	11.5
6.36	4.52	Other	Adult	11.3	11.3
5.64	3.94	Other	Adult	15.2	12.7
5.44	2.98	Other	Adult	11.1	10.5
7.26	0.2	Other	Adult	12.2	10.9
9.95	11.97	Other	Adult	12.2	11.5
9.75	12.84	Other	Adult	18.5	13.7
6.81	10.73	Other	Adult	15.5	12.6
6.2	11.48	Other	Adult	12.4	11.4
6.85	12.8	Other	Adult	13.9	12
6.27	12.93	Other	Adult	14.5	12.2
6.05	18.36	Other	Adult	18.6	13.5
4.69	19.62	Other	Adult	12.4	10.5
3.27	18.65	Other	Adult	14.6	11.6
1.99	19	Other	Adult	12.5	11.3
1.54	19.33	Other	Adult	12.8	11.3
0.36	19.41	Other	Adult	13.3	11.4
1.3	15.69	Other	Adult	17.4	12.4
1.85	14.78	Other	Adult	14.1	11.7
3.63	15.93	Other	Adult	10.8	9.4
3.86	16.74	Other	Adult	11	9.7
5.32	15.54	Other	Adult	10.4	8.5
6.02	14.15	Other	Adult	17.2	12.9
4.84	13.38	Other	Adult	11.7	10.8
5.45	10.5	Other	Adult	13.8	11.6
3.6	12.22	Other	Adult	14.8	12
2.21	13.14	Other	Adult	15.3	12.3
1.02	13.5	Other	Adult	15	12
0.78	11.47	Other	Adult	15.7	11.9
1.7	22.41	Other	Adult	21.7	16.4
2.18	21.15	Other	Adult	16.7	14.5
4.68	20.92	Other	Adult	12.9	10.7
5	22.84	Other	Adult	16.2	13.9
4.36	23.18	Other	Adult	14	12.7
3.63	24.32	Other	Adult	15.2	13.4
1.74	24.06	Other	Adult	16.6	13
0.56	24.13	Other	Adult	13.8	13
1.03	25.26	Other	Adult	17.1	14.5
2.93	25.57	Other	Adult	19.4	14.7
0.38	26.95	Balsam_Fir	Adult	13.2	8.9
5.65	29.16	Other	Adult	18	14.2
9.62	29.79	Other	Adult	14.8	13.2
7.66	25.03	Balsam_Fir	Adult	12.4	9.2
5.37	25.35	Other	Adult	14.4	12.2
5.23	24.7	Other	Adult	12.5	11.8
6.91	24.12	Balsam_Fir	Adult	14	11.7
5.74	22.32	Other	Adult	11	11.9
6	21.1	Balsam_Fir	Adult	11.1	10.3
7.88	21.67	Other	Adult	17.9	14.1
8.64	23.55	Other	Adult	21.7	15.6
9.37	22.7	Other	Adult	11.1	10.9
8.91	30.91	Other	Adult	14.3	13.1
8.94	31.6	Other	Adult	11.8	12.4
9.68	31.73	Other	Adult	17.6	14.1
7.81	31.72	Other	Adult	15.2	13.5
7.3	33	Other	Adult	16.6	11.4
5.83	32.22	Other	Adult	19	12.3
5.81	32.94	Other	Adult	12.9	10.9
7.45	34.67	Balsam_Fir	Adult	11	11.3
9.01	34.06	Balsam_Fir	Adult	14.5	11.1
9.49	36	Other	Adult	20.9	15.4
6.24	35.82	Other	Adult	21.3	13.1
5.65	35.7	Other	Adult	15.2	10.6
5.46	36.8	Other	Adult	12.2	10.2
9.98	39.95	Other	Adult	16.4	12.7
5.48	37.66	Balsam_Fir	Adult	15.2	12
5.11	38.84	Other	Adult	12.3	11.3
4.72	38.59	Other	Adult	13.9	11.6
4.59	38.88	Other	Adult	11.3	11.3
1.23	38.34	Other	Adult	14.9	12.7
1.66	38.98	Other	Adult	14.4	11.4
4.1	36.11	Other	Adult	10	8.1
2.49	36.65	Other	Adult	12.8	10.3
1.47	37.35	Other	Adult	16	12.7
0.18	36.25	Other	Adult	14.9	11
0.76	33.42	Other	Adult	11.2	8.3
2.15	32.24	Other	Adult	17.4	11.6
2.72	31.59	Other	Adult	19.5	13.8
0.94	31.04	Other	Adult	13.9	12.1
0.75	40.72	Balsam_Fir	Adult	11.6	8.1
1.33	42.71	Other	Adult	20.7	13.3
1.89	41.03	Other	Adult	13.4	12
3.16	40.72	Other	Adult	16.6	12.8
5.54	41.29	Balsam_Fir	Adult	11.2	8.4
5.92	41.78	Other	Adult	20	13.7
6.33	42.85	Other	Adult	14	11.1
2.59	44.09	Other	Adult	16.9	12.2
1.48	45.86	Other	Adult	16.2	12.2
5.46	45.23	Balsam_Fir	Adult	10.7	8.1
6.19	45.55	Other	Adult	10	8.4
9.69	49.69	Other	Adult	12.4	11
9.84	48.95	Other	Adult	11.8	11.7
9.75	47.15	Other	Adult	12.5	9.6
9.75	47.15	Other	Adult	17.9	12.7
7.34	47.17	Other	Adult	16.9	5.3
8.25	44.25	Balsam_Fir	Adult	12.3	10.4
8.28	42.18	Balsam_Fir	Adult	10.2	9.3
14.03	1.49	Other	Adult	16.5	13
13.69	1.76	Other	Adult	12.8	11.5
12.88	1.61	Other	Adult	17.7	14.5
11.81	2.64	Other	Adult	14.3	12.1
13.93	2.65	Other	Adult	10.3	10.7
14.24	4.61	Other	Adult	20.8	13.3
13.53	5.77	Other	Adult	17.2	12.9
10.53	4.53	Other	Adult	17.9	12.6
10.19	6.2	Other	Adult	13.6	11.4
10.88	6.72	Other	Adult	13.8	11.6
12.03	6.21	Other	Adult	12.3	11.3
12.1	6.57	Other	Adult	10.2	10
13.21	9.58	Other	Adult	15.2	11.2
17.5	9.67	Other	Adult	12	12
17.91	9.02	Other	Adult	18.4	14.1
19.91	8.75	Balsam_Fir	Adult	15.3	11.1
19.82	6.94	Other	Adult	13.5	11.2
18.67	5.14	Other	Adult	10.5	10.9
16.86	7.14	Other	Adult	12.6	11.6
13.9	6.34	Other	Adult	17.8	12.7
16.47	4.75	Other	Adult	13.1	11.5
17.77	4.61	Other	Adult	10	10.7
17.76	4.4	Other	Adult	10.9	11
19.07	3.54	Other	Adult	14.3	11.7
15.04	3.44	Other	Adult	16.4	11.3
16.53	0.71	Other	Adult	18.7	12.9
18.58	10.59	Balsam_Fir	Adult	12.9	10.4
16.41	10.3	Other	Adult	20.3	14.5
16.55	11.43	Other	Adult	16.5	13.1
15.69	11.43	Other	Adult	18	14.5
14.57	10.45	Other	Adult	19.7	14.4
14.9	12.27	Balsam_Fir	Adult	13.4	6.8
18.58	15.42	Other	Adult	16.8	13
19.51	13.26	Other	Adult	10.4	9
19.81	15.33	Balsam_Fir	Adult	10.2	11.3
19.4	18.44	Other	Adult	13.2	11.5
17.77	18.56	Other	Adult	13.5	12
17.07	17.31	Other	Adult	15.8	12.8
16.48	17.77	Other	Adult	14.1	12.5
16.13	17.25	Other	Adult	14.3	11.9
13.48	18.73	Other	Adult	17.2	13.7
12.9	19.05	Other	Adult	21	14.7
10.74	18.98	Other	Adult	12.8	11.8
13.9	14.91	Balsam_Fir	Adult	10.4	9.1
13.52	14.52	Balsam_Fir	Adult	11.5	8.8
11.12	13.29	Other	Adult	19.9	14
12.81	11.63	Other	Adult	15.3	11.3
11.08	12.53	Other	Adult	11.7	10.8
10.05	11.43	Other	Adult	15.1	12.5
11.11	20.38	Balsam_Fir	Adult	16.5	13.1
13.46	20.43	Other	Adult	12.5	12.1
13.56	20.91	Other	Adult	13.3	12.7
14.25	22.03	Other	Adult	16.7	14.2
13.97	21.94	Other	Adult	17.3	13.8
14.81	22.81	Other	Adult	15.8	13.7
13.52	22.69	Other	Adult	11.7	12
12.3	23.45	Other	Adult	11.1	11.7
11.47	22.87	Other	Adult	13.1	13.2
11.05	23.61	Other	Adult	20.2	15.2
10.72	23.16	Other	Adult	15.8	13.7
11.45	24.58	Other	Adult	12.9	12.3
12.55	24.4	Other	Adult	19.1	14.6
13.69	25.08	Other	Adult	24.7	15.8
12.18	26.23	Balsam_Fir	Adult	15.1	9.7
11.82	27.8	Balsam_Fir	Adult	13	10.5
10.78	29.17	Other	Adult	18.4	14
17.36	29.33	Other	Adult	13.7	12
18	28.72	Balsam_Fir	Adult	18.7	13.1
19.52	28.54	Other	Adult	12.2	10.7
16.31	27.47	Other	Adult	18.3	13.8
17.33	24.05	Other	Adult	21.3	15.1
17.48	22.81	Other	Adult	11.5	10.7
16.9	22.2	Other	Adult	13.8	11.5
17.75	20.68	Other	Adult	16.9	13.1
18.55	20.35	Other	Adult	14.7	12.5
17.65	31.87	Balsam_Fir	Adult	14.3	10.8
15.89	30.38	Balsam_Fir	Adult	12.2	11
14.84	32.05	Balsam_Fir	Adult	16.7	13.6
16.55	32.39	Other	Adult	13.7	11.2
16.75	33.39	Other	Adult	15.5	14.2
17.28	34.07	Other	Adult	16.6	14.5
16.89	35.56	Balsam_Fir	Adult	14.2	11.9
15.27	34.7	Other	Adult	15.3	13.7
16.55	37.1	Balsam_Fir	Adult	23	16.2
16.5	38.38	Balsam_Fir	Adult	11.3	11.1
18.5	39.94	Balsam_Fir	Adult	10.9	10.4
18.05	38.58	Other	Adult	22	14.9
15.38	37.85	Other	Adult	14	12.5
11.4	39.2	Other	Adult	19.6	13.8
12.92	35.06	Balsam_Fir	Adult	11.4	11.3
11.82	35.39	Other	Adult	17.6	12.3
11.08	40.34	Other	Adult	11.4	8.2
11.01	43.51	Other	Adult	19.1	9.3
12.19	42.66	Balsam_Fir	Adult	10.5	9.1
12.98	40.62	Other	Adult	14.1	11.6
15.47	44.11	Other	Adult	20.3	14.3
13.77	46.93	Other	Adult	16.9	12
12.45	47.86	Other	Adult	11.9	11.5
