X	Y	Species	Type	Diam	Height
4.75	1.5	White_Spruce	Adult	30.2	0
1	51.25	White_Spruce	Adult	36	0
2.75	51.25	White_Spruce	Adult	15.2	0
4.5	51.25	Trembling_Aspen	Adult	20	0
5.5	51.25	White_Spruce	Adult	15.6	0
5.75	50.75	Trembling_Aspen	Adult	18.8	0
3.25	58.5	Paper_Birch	Adult	13.2	0
1.75	59.5	Trembling_Aspen	Adult	29.5	0
9	52.25	White_Spruce	Adult	37.1	0
7	59.75	Trembling_Aspen	Adult	20	0
18.25	50	Trembling_Aspen	Adult	23.7	0
15.25	50.75	Trembling_Aspen	Adult	18.6	0
13.75	50.5	Trembling_Aspen	Adult	13.1	0
12.5	50.75	Trembling_Aspen	Adult	12.5	0
12.5	51.75	White_Spruce	Adult	16.5	0
17	52.25	Paper_Birch	Adult	19.6	0
18.75	53.5	White_Spruce	Adult	11	0
18	57	Trembling_Aspen	Adult	18.5	0
19.75	59	Trembling_Aspen	Adult	22.6	0
17	57.75	Other	Adult	11.8	0
16.75	57	Other	Adult	10.9	0
16.75	59.25	Trembling_Aspen	Adult	19.4	0
14.5	57	Trembling_Aspen	Adult	18.3	0
15.25	55.5	Trembling_Aspen	Adult	15.3	0
15.75	53.75	Trembling_Aspen	Adult	11.3	0
11.75	55.75	White_Spruce	Adult	10.3	0
23.5	50	Trembling_Aspen	Adult	24	0
22	52.25	Balsam_Fir	Adult	10.4	0
22	53	White_Spruce	Adult	38.1	0
27	53	Trembling_Aspen	Adult	28.5	0
25.75	52	Balsam_Fir	Adult	11.4	0
28.25	57.75	Paper_Birch	Adult	15.6	0
27.75	57.7	Paper_Birch	Adult	14.4	0
26	57.5	Other	Adult	12.4	0
50.5	1.25	Jack_Pine	Adult	35.9	0
25.5	58	Other	Adult	11.4	0
24.75	59.25	Paper_Birch	Adult	17.5	0
24.75	54	Trembling_Aspen	Adult	16.8	0
20.5	57.75	Trembling_Aspen	Adult	23.1	0
38.25	58	Trembling_Aspen	Adult	27.9	0
37.5	57.5	Trembling_Aspen	Adult	15.9	0
33	57.75	Trembling_Aspen	Adult	22.1	0
32.5	54.75	Trembling_Aspen	Adult	26.5	0
34	55	Trembling_Aspen	Adult	25.4	0
31.5	50	Trembling_Aspen	Adult	23.7	0
36.25	50.25	Trembling_Aspen	Adult	17.9	0
38.5	53.75	Trembling_Aspen	Adult	17.5	0
37.5	55.5	Trembling_Aspen	Adult	24.3	0
44	52	Paper_Birch	Adult	20.6	0
6.25	2	White_Spruce	Adult	34.1	0
44.75	54.5	Paper_Birch	Adult	12.8	0
48.5	53	Trembling_Aspen	Adult	19	0
49	53.25	Trembling_Aspen	Adult	37.1	0
48.5	57	Paper_Birch	Adult	13.2	0
48.75	57.75	Paper_Birch	Adult	11.6	0
48.75	58	Paper_Birch	Adult	10.9	0
42.25	58	Paper_Birch	Adult	20.5	0
40.5	58	Paper_Birch	Adult	13.5	0
40.25	55.75	White_Spruce	Adult	37.2	0
52.25	54	White_Spruce	Adult	15.5	0
53.75	50.75	Trembling_Aspen	Adult	28.9	0
55.5	50.75	Paper_Birch	Adult	19.4	0
59.5	50	Paper_Birch	Adult	12.8	0
59.25	54.75	Other	Adult	13	0
57.25	53.75	Jack_Pine	Adult	32.4	0
55.75	55	Paper_Birch	Adult	27.5	0
56	55.5	Paper_Birch	Adult	25.1	0
53	57.75	White_Spruce	Adult	14.1	0
52.5	58	White_Spruce	Adult	19.6	0
59	59	Paper_Birch	Adult	12.5	0
51.75	3.25	Trembling_Aspen	Adult	17.9	0
58.75	59.25	Paper_Birch	Adult	21.9	0
59.25	59.5	White_Spruce	Adult	13.8	0
59.75	58	Other	Adult	10	0
64.75	58.75	Other	Adult	14.1	0
51.75	5.5	Trembling_Aspen	Adult	20.5	0
65.25	56.25	Paper_Birch	Adult	15.5	0
65.25	55.5	Paper_Birch	Adult	23.2	0
65.25	55.25	White_Spruce	Adult	10.7	0
61.25	54.5	Other	Adult	16.9	0
60.75	51.25	Paper_Birch	Adult	12.9	0
64.25	52.75	White_Spruce	Adult	40.3	0
70.75	50.75	Paper_Birch	Adult	12	0
70.5	51	Paper_Birch	Adult	20.3	0
52	9.25	Trembling_Aspen	Adult	19.5	0
74.5	50.5	Paper_Birch	Adult	12.7	0
74.75	50.75	Paper_Birch	Adult	11.5	0
77	52.75	Paper_Birch	Adult	28.8	0
77.5	53	Paper_Birch	Adult	24.1	0
78.75	55.75	Trembling_Aspen	Adult	12.8	0
53	9.25	Trembling_Aspen	Adult	26.5	0
87.75	59.75	Other	Adult	22.7	0
85	58.75	White_Spruce	Adult	15.8	0
84.5	59.25	Trembling_Aspen	Adult	12	0
81	59.5	Trembling_Aspen	Adult	22.6	0
80.5	59.75	Trembling_Aspen	Adult	37.1	0
81.5	58.25	White_Spruce	Adult	15.9	0
81	57.75	Trembling_Aspen	Adult	12.1	0
83	57.5	White_Spruce	Adult	15.9	0
84.5	55.5	Trembling_Aspen	Adult	21.4	0
81.25	55.5	Trembling_Aspen	Adult	25.8	0
83.75	52.5	Trembling_Aspen	Adult	26.2	0
85	53.5	Balsam_Fir	Adult	11.8	0
53.5	7.75	White_Spruce	Adult	14.9	0
84.75	51.5	Trembling_Aspen	Adult	21.1	0
86.5	50.5	Paper_Birch	Adult	28	0
87	51	Trembling_Aspen	Adult	21.2	0
